AÑO;MES;CATEGORIA_ALOJAMIENTO;CCAA;PROVINCIA;PERIODO_ANTELACION;PRECIO_CHECK-IN_ENTRE_SEMANA;PRECIO_CHECK-IN_FIN_SEMANA
2021;1;Hotel 4 Estrellas;Andalucía;Sevilla;2 Semanas;72,0;77,0
2021;1;Hotel 5 Estrellas;Andalucía;Sevilla;2 Semanas;126,0;144,0
2021;1;Hotel 3 Estrellas;Andalucía;Sevilla;3 Meses;72,0;78,0
2021;1;Hotel 4 Estrellas;Andalucía;Sevilla;3 Meses;84,0;89,0
2021;1;Hotel 5 Estrellas;Andalucía;Sevilla;3 Meses;183,0;194,0
2021;2;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;66,0;78,0
2021;2;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;78,0;89,0
2021;2;Hotel 5 Estrellas;Andalucía;Sevilla;1 Mes;133,0;148,0
2021;2;Hotel 3 Estrellas;Andalucía;Sevilla;1 Semana;65,0;77,0
2021;2;Hotel 4 Estrellas;Andalucía;Sevilla;1 Semana;73,0;76,0
2021;2;Hotel 5 Estrellas;Andalucía;Sevilla;1 Semana;143,0;161,0
2021;2;Hotel 3 Estrellas;Andalucía;Sevilla;2 Semanas;65,0;77,0
