AÑO;MES;PAIS_ORIGEN;CCAA;PROVINCIA;INIDICE_PERCEPCION_TURISTICA_GLOBAL;INDICE_SATISFACCION_PRODUCTOS_TURISTICOS;INDICE_PERCEPCION_SEGURIDAD;INDICE_PERCEPCION_CLIMATICA
2020;1;Estados Unidos de América;Andalucía;Sevilla;83,43;65,8;100,0;100,0
2020;1;Francia;Andalucía;Sevilla;66,92;67,47;82,27;82,76
2020;1;Italia;Andalucía;Sevilla;89,72;73,12;100,0;100,0
2020;1;Noruega;Andalucía;Sevilla;;;100,0;100,0
2020;1;Portugal;Andalucía;Sevilla;79,71;73,77;100,0;100,0
2020;1;Reino Unido;Andalucía;Sevilla;87,27;75,33;95,63;100,0
2020;1;Suecia;Andalucía;Sevilla;87,8;67,0;100,0;100,0
2020;1;Total;Andalucía;Sevilla;81,83;71,76;94,25;80,6
2020;2;Alemania;Andalucía;Sevilla;79,13;75,65;100,0;100,0
2020;2;Dinamarca;Andalucía;Sevilla;91,98;73,13;100,0;100,0
2020;2;España;Andalucía;Sevilla;80,34;64,41;88,94;95,18
2020;2;Estados Unidos de América;Andalucía;Sevilla;99,03;89,41;100,0;100,0
2020;2;Francia;Andalucía;Sevilla;68,31;69,62;69,59;100,0
2020;2;Italia;Andalucía;Sevilla;91,85;69,45;88,96;100,0
2020;2;Noruega;Andalucía;Sevilla;;;100,0;100,0
2020;2;Portugal;Andalucía;Sevilla;67,51;77,6;100,0;100,0
2020;2;Reino Unido;Andalucía;Sevilla;93,23;76,49;98,27;92,33
2020;2;Suecia;Andalucía;Sevilla;79,28;75,74;100,0;100,0
2020;2;Total;Andalucía;Sevilla;83,69;71,63;92,36;91,17
2020;3;Alemania;Andalucía;Sevilla;91,69;75,49;100,0;100,0
2020;3;Dinamarca;Andalucía;Sevilla;95,54;65,8;100,0;100,0
2020;3;España;Andalucía;Sevilla;85,69;70,92;92,71;96,05
2020;3;Estados Unidos de América;Andalucía;Sevilla;;;100,0;100,0
2020;3;Francia;Andalucía;Sevilla;59,65;60,89;40,9;64,79
2020;3;Italia;Andalucía;Sevilla;86,51;73,74;87,66;100,0
2020;3;Noruega;Andalucía;Sevilla;;;100,0;100,0
2020;3;Portugal;Andalucía;Sevilla;81,22;74,39;100,0;100,0
2020;3;Reino Unido;Andalucía;Sevilla;95,28;75,43;100,0;89,13
2020;3;Suecia;Andalucía;Sevilla;80,66;66,81;100,0;100,0
2020;3;Total;Andalucía;Sevilla;85,58;69,13;92,55;88,94
2020;4;Alemania;Andalucía;Sevilla;23,86;74,6;100,0;100,0
2020;4;Dinamarca;Andalucía;Sevilla;;;100,0;100,0
2020;4;España;Andalucía;Sevilla;94,08;70,77;90,93;94,14
2020;4;Estados Unidos de América;Andalucía;Sevilla;;;100,0;100,0
2020;4;Francia;Andalucía;Sevilla;64,75;73,2;88,01;91,13
2020;4;Italia;Andalucía;Sevilla;50,93;71,37;59,39;80,16
2020;4;Noruega;Andalucía;Sevilla;;;100,0;100,0
2020;4;Portugal;Andalucía;Sevilla;;;100,0;100,0
2020;4;Reino Unido;Andalucía;Sevilla;90,47;72,84;97,19;100,0
2020;4;Suecia;Andalucía;Sevilla;85,74;65,8;100,0;100,0
2020;4;Total;Andalucía;Sevilla;78,4;68,87;91,89;88,14
2020;5;Alemania;Andalucía;Sevilla;88,19;73,95;100,0;100,0
2020;5;Dinamarca;Andalucía;Sevilla;;;100,0;100,0
2020;5;España;Andalucía;Sevilla;82,15;69,14;91,12;94,33
2020;5;Estados Unidos de América;Andalucía;Sevilla;85,74;65,8;100,0;100,0
2020;5;Francia;Andalucía;Sevilla;81,91;73,3;88,34;100,0
2020;5;Italia;Andalucía;Sevilla;88,61;75,37;100,0;100,0
2020;5;Noruega;Andalucía;Sevilla;;;100,0;100,0
2020;5;Portugal;Andalucía;Sevilla;83,66;65,8;100,0;100,0
2020;5;Reino Unido;Andalucía;Sevilla;100,0;79,15;100,0;100,0
2020;5;Suecia;Andalucía;Sevilla;79,74;65,8;100,0;100,0
2020;5;Total;Andalucía;Sevilla;81,81;70,46;92,75;90,72
2020;6;Alemania;Andalucía;Sevilla;88,64;75,47;100,0;100,0
2020;6;Dinamarca;Andalucía;Sevilla;85,74;65,8;100,0;100,0
2020;6;España;Andalucía;Sevilla;82,04;67,07;89,02;94,55
2020;6;Estados Unidos de América;Andalucía;Sevilla;;;100,0;100,0
2020;6;Francia;Andalucía;Sevilla;46,26;63,06;92,57;88,94
2020;6;Italia;Andalucía;Sevilla;75,31;31,03;100,0;100,0
2020;6;Noruega;Andalucía;Sevilla;;;100,0;100,0
2020;6;Portugal;Andalucía;Sevilla;92,82;89,41;100,0;100,0
2020;6;Reino Unido;Andalucía;Sevilla;85,42;75,0;90,5;90,57
2020;6;Suecia;Andalucía;Sevilla;86,87;69,56;100,0;100,0
2020;6;Total;Andalucía;Sevilla;81,82;69,99;92,92;91,57
2020;7;Alemania;Andalucía;Sevilla;96,17;72,22;100,0;75,49
2020;7;Dinamarca;Andalucía;Sevilla;;;100,0;100,0
2020;7;España;Andalucía;Sevilla;83,44;67,27;88,76;87,61
2020;7;Estados Unidos de América;Andalucía;Sevilla;;;100,0;100,0
2020;7;Francia;Andalucía;Sevilla;74,77;74,6;84,88;100,0
2020;7;Italia;Andalucía;Sevilla;86,57;67,93;83,86;100,0
2020;7;Noruega;Andalucía;Sevilla;;;100,0;100,0
2020;7;Portugal;Andalucía;Sevilla;63,89;65,8;100,0;100,0
2020;7;Reino Unido;Andalucía;Sevilla;84,52;65,28;88,38;100,0
2020;7;Suecia;Andalucía;Sevilla;80,43;65,24;100,0;100,0
2020;7;Total;Andalucía;Sevilla;84,77;70,85;93,44;89,35
2020;8;Alemania;Andalucía;Sevilla;92,89;65,85;100,0;100,0
2020;8;Dinamarca;Andalucía;Sevilla;;;100,0;100,0
2020;8;España;Andalucía;Sevilla;84,72;65,92;89,5;87,38
2020;8;Estados Unidos de América;Andalucía;Sevilla;79,2;65,8;100,0;100,0
2020;8;Francia;Andalucía;Sevilla;83,39;67,68;91,85;100,0
2020;8;Italia;Andalucía;Sevilla;96,85;77,77;100,0;100,0
2020;8;Noruega;Andalucía;Sevilla;;;100,0;100,0
2020;8;Portugal;Andalucía;Sevilla;74,19;65,8;100,0;100,0
2020;8;Reino Unido;Andalucía;Sevilla;69,2;48,72;90,2;100,0
2020;8;Suecia;Andalucía;Sevilla;65,89;65,85;100,0;100,0
2020;8;Total;Andalucía;Sevilla;84,75;65,99;92,65;90,36
2020;9;Alemania;Andalucía;Sevilla;100,0;74,11;100,0;100,0
2020;9;Dinamarca;Andalucía;Sevilla;;;100,0;100,0
2020;9;España;Andalucía;Sevilla;81,21;59,26;89,09;91,17
2020;9;Estados Unidos de América;Andalucía;Sevilla;100,0;65,8;100,0;100,0
2020;9;Francia;Andalucía;Sevilla;56,4;5,35;100,0;77,88
2020;9;Italia;Andalucía;Sevilla;91,52;72,64;100,0;100,0
2020;9;Noruega;Andalucía;Sevilla;;;100,0;100,0
2020;9;Portugal;Andalucía;Sevilla;73,96;65,85;100,0;100,0
2020;9;Reino Unido;Andalucía;Sevilla;86,67;60,7;96,72;100,0
2020;9;Suecia;Andalucía;Sevilla;79,74;65,8;100,0;100,0
2020;9;Total;Andalucía;Sevilla;85,41;64,94;90,59;90,66
2020;10;Alemania;Andalucía;Sevilla;81,89;65,8;100,0;100,0
2020;10;Dinamarca;Andalucía;Sevilla;;;100,0;100,0
2020;10;España;Andalucía;Sevilla;76,77;48,54;86,21;93,05
2020;10;Estados Unidos de América;Andalucía;Sevilla;97,59;65,8;100,0;100,0
2020;10;Francia;Andalucía;Sevilla;69,97;24,33;100,0;100,0
2020;10;Italia;Andalucía;Sevilla;92,54;71,76;100,0;100,0
2020;10;Noruega;Andalucía;Sevilla;;;100,0;100,0
2020;10;Portugal;Andalucía;Sevilla;80,12;65,8;100,0;100,0
2020;10;Reino Unido;Andalucía;Sevilla;63,84;60,1;90,01;100,0
2020;10;Suecia;Andalucía;Sevilla;96,86;66,81;100,0;100,0
2020;10;Total;Andalucía;Sevilla;82,82;62,75;90,16;90,72
2020;11;Alemania;Andalucía;Sevilla;97,85;76,75;100,0;100,0
2020;11;Dinamarca;Andalucía;Sevilla;85,74;65,8;100,0;100,0
2020;11;España;Andalucía;Sevilla;77,0;55,27;84,06;87,93
2020;11;Estados Unidos de América;Andalucía;Sevilla;76,07;65,8;100,0;100,0
2020;11;Francia;Andalucía;Sevilla;73,99;72,96;67,47;90,31
2020;11;Italia;Andalucía;Sevilla;77,78;71,69;100,0;100,0
2020;11;Noruega;Andalucía;Sevilla;79,74;65,8;100,0;100,0
2020;11;Portugal;Andalucía;Sevilla;94,62;65,8;100,0;100,0
2020;11;Reino Unido;Andalucía;Sevilla;18,57;37,49;91,3;87,05
2020;11;Suecia;Andalucía;Sevilla;70,74;65,8;100,0;100,0
2020;11;Total;Andalucía;Sevilla;79,95;61,39;90,41;82,2
2020;12;Alemania;Andalucía;Sevilla;92,25;71,11;100,0;100,0
2020;12;Dinamarca;Andalucía;Sevilla;85,74;65,8;100,0;100,0
2020;12;España;Andalucía;Sevilla;73,17;44,86;90,38;90,99
2020;12;Estados Unidos de América;Andalucía;Sevilla;;;100,0;100,0
2020;12;Francia;Andalucía;Sevilla;42,12;75,24;93,23;89,92
2020;12;Italia;Andalucía;Sevilla;83,98;46,98;100,0;100,0
2020;12;Noruega;Andalucía;Sevilla;79,74;65,8;100,0;100,0
2020;12;Portugal;Andalucía;Sevilla;87,9;65,8;100,0;100,0
2020;12;Reino Unido;Andalucía;Sevilla;74,86;67,73;93,23;100,0
2020;12;Suecia;Andalucía;Sevilla;59,7;28,99;100,0;100,0
2020;12;Total;Andalucía;Sevilla;73,51;47,74;91,2;92,33
2021;1;Alemania;Andalucía;Sevilla;100,0;75,83;100,0;100,0
2021;1;Dinamarca;Andalucía;Sevilla;79,74;65,8;100,0;100,0
2021;1;España;Andalucía;Sevilla;81,23;65,67;90,48;92,75
2021;1;Estados Unidos de América;Andalucía;Sevilla;;;100,0;100,0
2021;1;Francia;Andalucía;Sevilla;56,63;53,29;100,0;43,61
2021;1;Italia;Andalucía;Sevilla;80,38;66,95;100,0;100,0
2021;1;Noruega;Andalucía;Sevilla;;;100,0;100,0
2021;1;Portugal;Andalucía;Sevilla;99,72;66,81;100,0;100,0
2021;1;Reino Unido;Andalucía;Sevilla;67,42;76,51;97,55;89,04
2021;1;Suecia;Andalucía;Sevilla;81,7;67,32;100,0;100,0
2021;1;Total;Andalucía;Sevilla;80,59;64,2;92,21;89,31
2021;2;Alemania;Andalucía;Sevilla;67,1;77,6;100,0;100,0
2021;2;Dinamarca;Andalucía;Sevilla;;;100,0;100,0
2021;2;España;Andalucía;Sevilla;82,35;57,5;91,26;97,24
2021;2;Estados Unidos de América;Andalucía;Sevilla;;;100,0;100,0
2021;2;Francia;Andalucía;Sevilla;67,65;70,14;100,0;100,0
2021;2;Italia;Andalucía;Sevilla;37,83;65,8;100,0;100,0
2021;2;Noruega;Andalucía;Sevilla;;;100,0;100,0
2021;2;Portugal;Andalucía;Sevilla;100,0;65,8;100,0;100,0
2021;2;Reino Unido;Andalucía;Sevilla;75,33;77,59;93,87;100,0
2021;2;Suecia;Andalucía;Sevilla;86,04;66,81;100,0;100,0
2021;2;Total;Andalucía;Sevilla;80,91;56,64;91,93;97,97
2021;3;Alemania;Andalucía;Sevilla;;;100,0;100,0
2021;3;Dinamarca;Andalucía;Sevilla;;;100,0;100,0
2021;3;España;Andalucía;Sevilla;81,34;64,6;96,3;100,0
2021;3;Estados Unidos de América;Andalucía;Sevilla;;;100,0;100,0
2021;3;Francia;Andalucía;Sevilla;74,51;59,17;100,0;100,0
2021;3;Italia;Andalucía;Sevilla;;;100,0;100,0
2021;3;Noruega;Andalucía;Sevilla;;;100,0;100,0
2021;3;Portugal;Andalucía;Sevilla;;;100,0;100,0
2021;3;Reino Unido;Andalucía;Sevilla;23,07;78,67;100,0;100,0
2021;3;Suecia;Andalucía;Sevilla;;;100,0;100,0
2021;3;Total;Andalucía;Sevilla;81,16;56,32;93,43;96,19
2021;4;Alemania;Andalucía;Sevilla;85,64;65,8;100,0;100,0
2021;4;Dinamarca;Andalucía;Sevilla;;;100,0;100,0
2021;4;España;Andalucía;Sevilla;80,26;65,1;87,38;96,24
2021;4;Estados Unidos de América;Andalucía;Sevilla;;;100,0;100,0
2021;4;Francia;Andalucía;Sevilla;76,61;65,8;100,0;100,0
2021;4;Italia;Andalucía;Sevilla;100,0;89,41;100,0;100,0
2021;4;Noruega;Andalucía;Sevilla;;;100,0;100,0
2021;4;Portugal;Andalucía;Sevilla;;;100,0;100,0
2021;4;Reino Unido;Andalucía;Sevilla;93,06;65,85;100,0;100,0
2021;4;Suecia;Andalucía;Sevilla;;;100,0;100,0
2021;4;Total;Andalucía;Sevilla;81,03;57,0;91,66;96,05
2021;5;Alemania;Andalucía;Sevilla;;;100,0;100,0
2021;5;Dinamarca;Andalucía;Sevilla;;;100,0;100,0
2021;5;España;Andalucía;Sevilla;79,7;70,29;91,94;100,0
2021;5;Estados Unidos de América;Andalucía;Sevilla;;;100,0;100,0
2021;5;Francia;Andalucía;Sevilla;56,64;75,74;100,0;
2021;5;Italia;Andalucía;Sevilla;97,92;65,8;100,0;100,0
2021;5;Noruega;Andalucía;Sevilla;;;100,0;100,0
2021;5;Portugal;Andalucía;Sevilla;62,68;65,8;100,0;100,0
2021;5;Reino Unido;Andalucía;Sevilla;67,39;70,49;70,55;100,0
2021;5;Suecia;Andalucía;Sevilla;;;100,0;100,0
2021;5;Total;Andalucía;Sevilla;75,64;61,41;91,55;94,46
2021;6;Alemania;Andalucía;Sevilla;76,36;65,8;100,0;100,0
2021;6;Dinamarca;Andalucía;Sevilla;92,82;89,41;100,0;100,0
2021;6;España;Andalucía;Sevilla;71,48;60,1;85,75;86,26
2021;6;Estados Unidos de América;Andalucía;Sevilla;;;100,0;100,0
2021;6;Francia;Andalucía;Sevilla;58,46;70,34;100,0;
2021;6;Italia;Andalucía;Sevilla;90,78;65,8;100,0;100,0
2021;6;Noruega;Andalucía;Sevilla;;;100,0;100,0
2021;6;Portugal;Andalucía;Sevilla;73,28;65,8;100,0;100,0
2021;6;Reino Unido;Andalucía;Sevilla;66,21;74,67;100,0;80,47
2021;6;Suecia;Andalucía;Sevilla;57,96;;100,0;100,0
2021;6;Total;Andalucía;Sevilla;74,17;59,23;89,21;86,74
2021;7;Alemania;Andalucía;Sevilla;74,57;65,8;100,0;100,0
2021;7;Dinamarca;Andalucía;Sevilla;;;100,0;100,0
2021;7;España;Andalucía;Sevilla;82,04;63,1;92,93;85,51
2021;7;Estados Unidos de América;Andalucía;Sevilla;74,48;65,8;100,0;100,0
2021;7;Francia;Andalucía;Sevilla;86,91;65,8;100,0;100,0
2021;7;Italia;Andalucía;Sevilla;73,51;32,9;100,0;100,0
2021;7;Noruega;Andalucía;Sevilla;;;100,0;100,0
2021;7;Portugal;Andalucía;Sevilla;76,77;65,8;100,0;100,0
2021;7;Reino Unido;Andalucía;Sevilla;88,83;71,02;89,38;100,0
2021;7;Suecia;Andalucía;Sevilla;;;100,0;100,0
2021;7;Total;Andalucía;Sevilla;80,82;57,62;93,1;89,72
2021;8;Alemania;Andalucía;Sevilla;73,22;65,8;100,0;100,0
2021;8;Dinamarca;Andalucía;Sevilla;100,0;65,8;100,0;100,0
2021;8;España;Andalucía;Sevilla;79,71;60,76;87,96;94,88
2021;8;Estados Unidos de América;Andalucía;Sevilla;;;100,0;100,0
2021;8;Francia;Andalucía;Sevilla;62,48;42,14;100,0;100,0
2021;8;Italia;Andalucía;Sevilla;86,34;65,8;100,0;100,0
2021;8;Noruega;Andalucía;Sevilla;;;100,0;100,0
2021;8;Portugal;Andalucía;Sevilla;80,48;77,6;100,0;100,0
2021;8;Reino Unido;Andalucía;Sevilla;94,73;71,42;100,0;100,0
2021;8;Suecia;Andalucía;Sevilla;;;100,0;100,0
2021;8;Total;Andalucía;Sevilla;79,74;63,3;89,25;94,79
2021;9;Alemania;Andalucía;Sevilla;92,48;81,23;100,0;100,0
2021;9;Dinamarca;Andalucía;Sevilla;;;100,0;100,0
2021;9;España;Andalucía;Sevilla;80,85;63,33;91,77;88,69
2021;9;Estados Unidos de América;Andalucía;Sevilla;;;100,0;100,0
2021;9;Francia;Andalucía;Sevilla;83,02;65,8;100,0;100,0
2021;9;Italia;Andalucía;Sevilla;90,07;69,97;100,0;100,0
2021;9;Noruega;Andalucía;Sevilla;79,74;65,8;100,0;100,0
2021;9;Portugal;Andalucía;Sevilla;66,15;65,8;100,0;100,0
2021;9;Reino Unido;Andalucía;Sevilla;85,75;71,75;91,17;100,0
